Квартира	Дата опломбировки		ОТП1							ОТП2							ОТОП3					
		Марка	Модель	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки	Марка	Модель	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки	Модель	Марка	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки
83	06.02.2015	ZENNER	Multidata s1-1	33467628	2.052	02.04.2014	311849	02.04.2018	ZENNER	Multidata s1-1	33468006	1.438	02.04.2014	311850	02.04.2018	ZENNER	Multidata s1-1					
84	18.02.2015	ZENNER	Multidata s1-1	33467881	3.104	02.04.2014	268338	02.04.2018	ZENNER	Multidata s1-1	33467614	2.092	02.04.2014	268339	02.04.2018	ZENNER	Multidata s1-1					
85	06.02.2015	ZENNER	Multidata s1-1	33467794	1.608	02.04.2014	311885	02.04.2018	ZENNER	Multidata s1-1	33467730	0.147	02.04.2014	268325	02.04.2018	ZENNER	Multidata s1-1					
86	16.01.2015	ZENNER	Multidata s1-1	33467842	2.094	02.04.2014	1043239	02.04.2018	ZENNER	Multidata s1-1	33467865	0.211	02.04.2014	1043285	02.04.2018	ZENNER	Multidata s1-1					
87		ZENNER	Multidata s1-1						ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
88		ZENNER	Multidata s1-1						ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
89	05.02.2015	ZENNER	Multidata s1-1	33467731	1.461	02.04.2014	311855	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
90	23.01.2015	ZENNER	Multidata s1-1	33467670	1.857	02.04.2014	1043313	02.04.2018	ZENNER	Multidata s1-1	33467617	2.016	02.04.2014	1043316	02.04.2018	ZENNER	Multidata s1-1					
91	23.01.2015	ZENNER	Multidata s1-1	33467833	1.811	02.04.2014	1043308	02.04.2018	ZENNER	Multidata s1-1	33467920	0.975	02.04.2014	1043400	02.04.2018	ZENNER	Multidata s1-1					
92	25.04.2017	ZENNER	Multidata s1-1	33467903	7.672	02.04.2014	338948	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
93	16.01.2015	ZENNER	Multidata s1-1	33467630	1.552	02.04.2014	1043263	02.04.2018	ZENNER	Multidata s1-1	33467669	1.259	02.04.2014	1043232	02.04.2018	ZENNER	Multidata s1-1					
94	07.06.2017	ZENNER	Multidata s1-1	33467902	4.597	02.04.2014	338820	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
